normalization,normalization_label,level,metric,point_estimate,ci_low,ci_high,source
VAHADANE,Vahadane,micro,tnr,0.9260993892725848,0.9040437885319202,0.9450896771520538,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,precision,0.7139415001465073,0.5851031140990227,0.8105182968502554,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,accuracy,0.9028738491449233,0.8635607430378588,0.9315659731286016,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,fpr,0.0739006107274152,0.054910322847946225,0.09595621146807974,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,micro,fnr,0.19810440387297365,0.09678035225233109,0.31382390886102923,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,dice,0.40900575173456977,0.31537808601104483,0.5055427385091902,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,iou,0.36746746016570214,0.28080893612890484,0.4590223009276167,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,tpr,0.858798185674393,0.811409226786861,0.9009647067566076,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,tnr,0.8860778895979898,0.854103859466325,0.915388609987392,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,precision,0.3793813544769631,0.2831819089653593,0.4816330539915109,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,accuracy,0.8865879375716079,0.8563833388054872,0.9140097828414796,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,fpr,0.11392211040201017,0.08461139001260795,0.14589614053367495,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,macro,fnr,0.141201814325607,0.0990352932433925,0.188590773213139,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,rule6,dice_pos_only,0.7450382733429215,0.6537033945855761,0.8285332317541602,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,rule6,neg_clean_rate,0.0975609756097561,0.022727272727272728,0.2,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
VAHADANE,Vahadane,auc,auc,0.9409957588338214,,,ENSEMBLE_METRICS_12_05_2026_13_17_25.json
